epoch,train_loss,val_loss,lr
1,0.1953,0.116,0.0001
2,0.1063,0.088,0.0001
3,0.0912,0.0848,0.0001
4,0.0849,0.0775,0.0001
5,0.0763,0.0833,0.0001
6,0.0734,0.0641,0.0001
7,0.0672,0.0729,0.0001
8,0.066,0.0607,0.0001
9,0.0602,0.0577,0.0001
10,0.056,0.0619,0.0001
11,0.0562,0.0572,0.0001
12,0.051,0.0603,0.0001
13,0.0543,0.0491,0.0001
14,0.0517,0.0464,0.0001
15,0.0497,0.0487,0.0001
16,0.0461,0.0478,0.0001
17,0.0464,0.0491,0.0001
18,0.0474,0.0529,0.0001
19,0.0443,0.0509,5e-05
20,0.0358,0.0323,5e-05
21,0.0311,0.0312,5e-05
22,0.0309,0.0308,5e-05
23,0.031,0.0319,5e-05
24,0.0302,0.0327,5e-05
25,0.0315,0.0347,5e-05
26,0.0292,0.0314,5e-05
27,0.0297,0.0328,2.5e-05
28,0.0254,0.0273,2.5e-05
29,0.0233,0.0274,2.5e-05
30,0.0222,0.0259,2.5e-05
31,0.0233,0.0262,2.5e-05
32,0.0234,0.0263,2.5e-05
33,0.022,0.0249,2.5e-05
34,0.0223,0.0256,2.5e-05
35,0.0224,0.0248,2.5e-05
36,0.0214,0.0229,2.5e-05
37,0.0215,0.0264,2.5e-05
38,0.0216,0.0223,2.5e-05
39,0.0211,0.0226,2.5e-05
40,0.021,0.0223,2.5e-05
41,0.0213,0.0236,2.5e-05
42,0.022,0.0254,2.5e-05
43,0.0208,0.0266,1.25e-05
44,0.0188,0.0243,1.25e-05
45,0.0189,0.0232,1.25e-05
46,0.0188,0.0235,1.25e-05
